Timestamp,What is your current marital status?,Wife: How old were you at marriage? (in years),Husband: How old were you at marriage? (in years),Our Family Backgrounds:,Have you been married before?,Was buying a home or moving out a significant factor for marriage?,How did you meet?,How long was your relationship before marriage?,Did you attend Premarital Counselling?,Did you live together before marriage?,What were your views on marriage prior to the wedding?,"Do you believe in ""Soulmates"" or ""The One""?",Our views on religion:,Do you have children together?,What were your views on children?,On political views:,Relationship with In-laws is best described as: (Select Neutral if Not Applicable) [You and your in-laws],Relationship with In-laws is best described as: (Select Neutral if Not Applicable) [Your spouse/ex and their in-laws],Our household is primarily:,On managing household finances:,What best describes your personalities?,Do you share a key common interest?,Do you approve of each other's social circle?,How do you feel about pets & pet ownership?,Which top 3 values do you prioritise most in your life? [Me],Which top 3 values do you prioritise most in your life? [My spouse/ex],"Thank you for reaching the end! 

If there are there any other factors you feel are important for a relationship that were not mentioned, feel free to add them here. Otherwise, press submit!"
2/18/2026 15:34:34,Divorced or Annulled,27,,Both our parents are Married,No,No,Workplace,4+ years,No,No,Both wanted marriage,No - we don't,Same beliefs but different practices,No,Both ambivalent or undecided,We have different views but respect them,Very Good,Neutral,Dual income,"Half aligned, half in disagreement",Mixed - One of each,Yes,Yes,"Mixed - One of us love pets, the other does not","Career Ambition, Adventure/Trying New Things, Self-Improvement, Travel, Health and Fitness","Security/Stability, Self-Improvement, Travel",
2/19/2026 20:21:52,Divorced or Annulled,20,27,"One set of parents are Married, the other Divorced",No,Yes,Workplace,4+ years,Yes,No,Both wanted marriage,Half - one of us does,Same beliefs and practices,Yes,Both wanted children,We have different views but respect them,Neutral,Neutral,Single income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,We are both indifferent or do not want pets,"Family, Faith and Spirituality",Career Ambition,Communication
2/21/2026 11:05:06,Divorced or Annulled,23,30,Both our parents are Married,No,No,Family introduction,<6 months,No,No,Both wanted marriage,No - we don't,Same beliefs and practices,Yes,Both wanted children,We both avoid discussing politics,Neutral,Neutral,Single income,Mostly aligned,Both Introverts,No,Somewhat,We are both indifferent or do not want pets,"Family, Faith and Spirituality, Security/Stability","Family, Security/Stability, Self-Improvement",
2/22/2026 7:54:54,Married or Widowed,31,31,Both our parents are Married,No,No,Club,1–2 years,No,Yes,Both wanted marriage,Yes - we both do,Same beliefs and practices,Yes,Both wanted children,We both avoid discussing politics,Good,Neutral,Single income,Mostly aligned,Mixed - One of each,Yes,Yes,"Mixed - One of us love pets, the other does not","Family, Faith and Spirituality, Community","Family, Faith and Spirituality, Community",
2/25/2026 0:48:17,Married or Widowed,23,27,Both our parents are Married,No,Yes,School,<6 months,Yes,No,Both wanted marriage,No - we don't,Same beliefs and practices,Yes,Both wanted children,We have different views but respect them,Good,Good,Single income,Mostly aligned,Mixed - One of each,Yes,Yes,We both love and/or own pets,"Family, Faith and Spirituality, Community","Family, Adventure/Trying New Things, Self-Improvement",
3/3/2026 13:52:44,Married or Widowed,28,34,Both our parents are Married,No,No,Religious Place of Worship,4+ years,No,No,Both wanted marriage,Half - one of us does,Different beliefs but accepting,Yes,Mixed - One spouse wanted children,We have different views but respect them,Neutral,Neutral,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,"Mixed - One of us love pets, the other does not","Career Ambition, Family, Security/Stability, Self-Improvement, Travel, Health and Fitness","Career Ambition, Family, Security/Stability, Self-Improvement, Travel, Health and Fitness",Couples need to be aligned and sometimes we need to compromise on situations when we are not getting to a conclusion. 
3/4/2026 10:55:56,Married or Widowed,28,29,Both our parents are Married,No,Yes,Workplace,4+ years,No,No,Both wanted marriage,Half - one of us does,Different beliefs but accepting,No,Mixed - One spouse wanted children,We have different views but respect them,Very Good,Very Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Somewhat,We both love and/or own pets,"Adventure/Trying New Things, Security/Stability, Self-Improvement","Career Ambition, Security/Stability, Self-Improvement",
3/5/2026 16:02:22,Married or Widowed,32,34,Both our parents are Married,No,Yes,Religious Place of Worship,2–4 years,Yes,No,Both wanted marriage,No - we don't,Same beliefs and practices,Yes,Both wanted children,We have different views but respect them,Good,Very Good,Dual income,Mostly aligned,Both Introverts,No,Yes,"Mixed - One of us love pets, the other does not","Family, Faith and Spirituality, Self-Improvement","Family, Faith and Spirituality, Security/Stability","We had a long discussion before getting married. Key discussions over whether to have child(ren), when will we have child(ren), where to locate ourselves in the world, how would the standard of livings are like."
3/5/2026 17:59:46,Divorced or Annulled,19,21,Both our parents are Married,No,No,School,<6 months,No,Yes,"Half - One was ambivalent, one wanted marriage",Half - one of us does,Same beliefs and practices,Yes,Mixed - One spouse wanted children,We both avoid discussing politics,Bad,Good,Single income,"Half aligned, half in disagreement",Mixed - One of each,No,No,We are both indifferent or do not want pets,"Adventure/Trying New Things, Self-Improvement, Travel","Family, Security/Stability, Community",
3/5/2026 20:35:31,Divorced or Annulled,29,32,Both our parents are Married,No,Yes,School,4+ years,No,No,"Half - One was ambivalent, one wanted marriage",No - we don't,Same beliefs and practices,No,Mixed - One spouse wanted children,We have different views but respect them,Neutral,Neutral,Dual income,Mostly aligned,Both Introverts,No,Somewhat,We both love and/or own pets,"Family, Security/Stability, Travel","Career Ambition, Security/Stability, Travel",
